REGION,TECHNOLOGY,YEAR,VALUE
RE1,BACKSTOP,2019,9999.0
RE1,BACKSTOP,2020,9999.0
RE1,BACKSTOP,2021,9999.0
RE1,BACKSTOP,2022,9999.0
RE1,BACKSTOP,2023,9999.0
RE1,BACKSTOP,2024,9999.0
RE1,BACKSTOP,2025,9999.0
RE1,BACKSTOP,2026,9999.0
RE1,BACKSTOP,2027,9999.0
RE1,BACKSTOP,2028,9999.0
RE1,BACKSTOP,2029,9999.0
RE1,BACKSTOP,2030,9999.0
RE1,BACKSTOP,2031,9999.0
RE1,BACKSTOP,2032,9999.0
RE1,BACKSTOP,2033,9999.0
RE1,BACKSTOP,2034,9999.0
RE1,BACKSTOP,2035,9999.0
RE1,BACKSTOP,2036,9999.0
RE1,BACKSTOP,2037,9999.0
RE1,BACKSTOP,2038,9999.0
RE1,BACKSTOP,2039,9999.0
RE1,BACKSTOP,2040,9999.0
RE1,BACKSTOP,2041,9999.0
RE1,BACKSTOP,2042,9999.0
RE1,BACKSTOP,2043,9999.0
RE1,BACKSTOP,2044,9999.0
RE1,BACKSTOP,2045,9999.0
RE1,BACKSTOP,2046,9999.0
RE1,BACKSTOP,2047,9999.0
RE1,BACKSTOP,2048,9999.0
RE1,BACKSTOP,2049,9999.0
RE1,BACKSTOP,2050,9999.0
RE1,CCOELC001,2019,400.0
RE1,CCOELC001,2020,400.0
RE1,CCOELC001,2021,400.0
RE1,CCOELC001,2022,400.0
RE1,CCOELC001,2023,400.0
RE1,CCOELC001,2024,400.0
RE1,CCOELC001,2025,400.0
RE1,CCOELC001,2026,400.0
RE1,CCOELC001,2027,400.0
RE1,CCOELC001,2028,400.0
RE1,CCOELC001,2029,400.0
RE1,CCOELC001,2030,400.0
RE1,CCOELC001,2031,400.0
RE1,CCOELC001,2032,400.0
RE1,CCOELC001,2033,400.0
RE1,CCOELC001,2034,400.0
RE1,CCOELC001,2035,400.0
RE1,CCOELC001,2036,400.0
RE1,CCOELC001,2037,400.0
RE1,CCOELC001,2038,400.0
RE1,CCOELC001,2039,400.0
RE1,CCOELC001,2040,400.0
RE1,CCOELC001,2041,400.0
RE1,CCOELC001,2042,400.0
RE1,CCOELC001,2043,400.0
RE1,CCOELC001,2044,400.0
RE1,CCOELC001,2045,400.0
RE1,CCOELC001,2046,400.0
RE1,CCOELC001,2047,400.0
RE1,CCOELC001,2048,400.0
RE1,CCOELC001,2049,400.0
RE1,CCOELC001,2050,400.0
