REGION,TECHNOLOGY,VALUE
RE1,BACKSTOP,1.0
RE1,CCOELC001,10.0
RE1,EXPELC,25.0
RE1,FTEAGRDSL,1.0
RE1,FTEAGRGSL,1.0
RE1,FTEAGRHFO,1.0
RE1,FTECOMELC,1.0
RE1,FTEINDCOA,1.0
RE1,FTEINDDSL,1.0
RE1,FTEINDELC,1.0
RE1,FTEINDHFO,1.0
RE1,FTEINDKER,1.0
RE1,FTEINDLPG,1.0
RE1,FTERESBGS,1.0
RE1,FTERESBIO,1.0
RE1,FTERESCHC,1.0
RE1,FTERESELC,1.0
RE1,FTERESETH,1.0
RE1,FTERESKER,1.0
RE1,FTERESLPG,1.0
RE1,FTETRADSL,1.0
RE1,FTETRAELC,1.0
RE1,FTETRAGSL,1.0
RE1,FTETRAHFO,1.0
RE1,FTETRAJFL,1.0
RE1,ICMCOA001,10.0
RE1,ICMCOA005,10.0
RE1,IFPELC001,10.0
RE1,IMPBIO,1.0
RE1,IMPCOA,1.0
RE1,IMPDSL,1.0
RE1,IMPELC001,25.0
RE1,IMPELC002,25.0
RE1,IMPGSL,1.0
RE1,IMPHFOMOM,1.0
RE1,IMPHFONAI,1.0
RE1,IMPJFL,1.0
RE1,IMPKER,1.0
RE1,IMPLFOELD,1.0
RE1,IMPLPG,1.0
RE1,IMPNGS,1.0
RE1,IMPURN,1.0
RE1,IOIDSL001,10.0
RE1,IOIELC001,10.0
RE1,IOIHFO001,10.0
RE1,IOIKER001,10.0
RE1,IOILPG001,10.0
RE1,MINBGS,1.0
RE1,MINBIO,1.0
RE1,MINGEO,1.0
RE1,MINHYD,1.0
RE1,MINSOL,1.0
RE1,MINURN,1.0
RE1,MINWND,1.0
RE1,PWRBIO001,30.0
RE1,PWRCOA001,25.0
RE1,PWRDIST,70.0
RE1,PWRGEO001,25.0
RE1,PWRGEO002,25.0
RE1,PWRGEO003,25.0
RE1,PWRGEO004,25.0
RE1,PWRGEO005,25.0
RE1,PWRGEO006,25.0
RE1,PWRGEO007,25.0
RE1,PWRHFO001,20.0
RE1,PWRHYD001,40.0
RE1,PWRHYD002,40.0
RE1,PWRHYD003,40.0
RE1,PWRHYD004,40.0
RE1,PWRHYD005,40.0
RE1,PWRLFO001,24.0
RE1,PWRNGS001,20.0
RE1,PWRSOL001,20.0
RE1,PWRTRN,50.0
RE1,PWRURN001,60.0
RE1,PWRWND001,20.0
RE1,PWRWND002,20.0
RE1,PWRWND003,20.0
RE1,PWRWND004,20.0
RE1,PWRWND005,20.0
RE1,PWRWND006,20.0
RE1,PWRWND007,20.0
