REGION,FUEL,TIMESLICE,YEAR,VALUE
RE1,DEMCCO,S11,2019,0.0358
RE1,DEMCCO,S11,2020,0.0358
RE1,DEMCCO,S11,2021,0.0358
RE1,DEMCCO,S11,2022,0.0358
RE1,DEMCCO,S11,2023,0.0358
RE1,DEMCCO,S11,2024,0.0358
RE1,DEMCCO,S11,2025,0.0358
RE1,DEMCCO,S11,2026,0.0358
RE1,DEMCCO,S11,2027,0.0358
RE1,DEMCCO,S11,2028,0.0358
RE1,DEMCCO,S11,2029,0.0358
RE1,DEMCCO,S11,2030,0.0358
RE1,DEMCCO,S11,2031,0.0358
RE1,DEMCCO,S11,2032,0.0358
RE1,DEMCCO,S11,2033,0.0358
RE1,DEMCCO,S11,2034,0.0358
RE1,DEMCCO,S11,2035,0.0358
RE1,DEMCCO,S11,2036,0.0358
RE1,DEMCCO,S11,2037,0.0358
RE1,DEMCCO,S11,2038,0.0358
RE1,DEMCCO,S11,2039,0.0358
RE1,DEMCCO,S11,2040,0.0358
RE1,DEMCCO,S11,2041,0.0358
RE1,DEMCCO,S11,2042,0.0358
RE1,DEMCCO,S11,2043,0.0358
RE1,DEMCCO,S11,2044,0.0358
RE1,DEMCCO,S11,2045,0.0358
RE1,DEMCCO,S11,2046,0.0358
RE1,DEMCCO,S11,2047,0.0358
RE1,DEMCCO,S11,2048,0.0358
RE1,DEMCCO,S11,2049,0.0358
RE1,DEMCCO,S11,2050,0.0358
RE1,DEMRC1,S11,2019,0.0358
RE1,DEMRC1,S11,2020,0.0358
RE1,DEMRC1,S11,2021,0.0358
RE1,DEMRC1,S11,2022,0.0358
RE1,DEMRC1,S11,2023,0.0358
RE1,DEMRC1,S11,2024,0.0358
RE1,DEMRC1,S11,2025,0.0358
RE1,DEMRC1,S11,2026,0.0358
RE1,DEMRC1,S11,2027,0.0358
RE1,DEMRC1,S11,2028,0.0358
RE1,DEMRC1,S11,2029,0.0358
RE1,DEMRC1,S11,2030,0.0358
RE1,DEMRC1,S11,2031,0.0358
RE1,DEMRC1,S11,2032,0.0358
RE1,DEMRC1,S11,2033,0.0358
RE1,DEMRC1,S11,2034,0.0358
RE1,DEMRC1,S11,2035,0.0358
RE1,DEMRC1,S11,2036,0.0358
RE1,DEMRC1,S11,2037,0.0358
