REGION,TECHNOLOGY,YEAR,VALUE
RE1,AGRDSL001,2019,773.26
RE1,AGRDSL001,2020,773.26
RE1,AGRDSL001,2021,773.26
RE1,AGRDSL001,2022,773.26
RE1,AGRDSL001,2023,773.26
RE1,AGRDSL001,2024,773.26
RE1,AGRDSL001,2025,773.26
RE1,AGRDSL001,2026,773.26
RE1,AGRDSL001,2027,773.26
RE1,AGRDSL001,2028,773.26
RE1,AGRDSL001,2029,773.26
RE1,AGRDSL001,2030,773.26
RE1,AGRDSL001,2031,773.26
RE1,AGRDSL001,2032,773.26
RE1,AGRDSL001,2033,773.26
RE1,AGRDSL001,2034,773.26
RE1,AGRDSL001,2035,773.26
RE1,AGRDSL001,2036,773.26
RE1,AGRDSL001,2037,773.26
RE1,AGRDSL001,2038,773.26
RE1,AGRDSL001,2039,773.26
RE1,AGRDSL001,2040,773.26
RE1,AGRDSL001,2041,773.26
RE1,AGRDSL001,2042,773.26
RE1,AGRDSL001,2043,773.26
RE1,AGRDSL001,2044,773.26
RE1,AGRDSL001,2045,773.26
RE1,AGRDSL001,2046,773.26
RE1,AGRDSL001,2047,773.26
RE1,AGRDSL001,2048,773.26
RE1,AGRDSL001,2049,773.26
RE1,AGRDSL001,2050,773.26
RE1,AGRDSL005,2019,950.02
RE1,AGRDSL005,2020,950.02
RE1,AGRDSL005,2021,950.02
RE1,AGRDSL005,2022,950.02
RE1,AGRDSL005,2023,950.02
RE1,AGRDSL005,2024,950.02
RE1,AGRDSL005,2025,950.02
RE1,AGRDSL005,2026,950.02
RE1,AGRDSL005,2027,950.02
RE1,AGRDSL005,2028,950.02
RE1,AGRDSL005,2029,950.02
RE1,AGRDSL005,2030,950.02
RE1,AGRDSL005,2031,950.02
RE1,AGRDSL005,2032,950.02
RE1,AGRDSL005,2033,950.02
RE1,AGRDSL005,2034,950.02
RE1,AGRDSL005,2035,950.02
RE1,AGRDSL005,2036,950.02
RE1,AGRDSL005,2037,950.02
RE1,AGRDSL005,2038,950.02
