REGION,EMISSION,YEAR,VALUE
RE1,CO2,2019,0.0
RE1,CO2,2020,0.0
RE1,CO2,2021,0.0
RE1,CO2,2022,0.0
RE1,CO2,2023,0.0
RE1,CO2,2024,0.0
RE1,CO2,2025,0.0
RE1,CO2,2026,0.0
RE1,CO2,2027,0.0
RE1,CO2,2028,0.0
RE1,CO2,2029,0.0
RE1,CO2,2030,0.0
RE1,CO2,2031,0.0
RE1,CO2,2032,0.0
RE1,CO2,2033,0.0
RE1,CO2,2034,0.0
RE1,CO2,2035,0.0
RE1,CO2,2036,0.0
RE1,CO2,2037,0.0
RE1,CO2,2038,0.0
RE1,CO2,2039,0.0
RE1,CO2,2040,0.0
RE1,CO2,2041,0.0
RE1,CO2,2042,0.0
RE1,CO2,2043,0.0
RE1,CO2,2044,0.0
RE1,CO2,2045,0.0
RE1,CO2,2046,0.0
RE1,CO2,2047,0.0
RE1,CO2,2048,0.0
RE1,CO2,2049,0.0
RE1,CO2,2050,0.0
RE1,CO2agr,2019,0.0
RE1,CO2agr,2020,0.0
RE1,CO2agr,2021,0.0
RE1,CO2agr,2022,0.0
RE1,CO2agr,2023,0.0
RE1,CO2agr,2024,0.0
RE1,CO2agr,2025,0.0
RE1,CO2agr,2026,0.0
RE1,CO2agr,2027,0.0
RE1,CO2agr,2028,0.0
RE1,CO2agr,2029,0.0
RE1,CO2agr,2030,0.0
RE1,CO2agr,2031,0.0
RE1,CO2agr,2032,0.0
RE1,CO2agr,2033,0.0
RE1,CO2agr,2034,0.0
RE1,CO2agr,2035,0.0
RE1,CO2agr,2036,0.0
RE1,CO2agr,2037,0.0
RE1,CO2agr,2038,0.0
RE1,CO2agr,2039,0.0
RE1,CO2agr,2040,0.0
RE1,CO2agr,2041,0.0
RE1,CO2agr,2042,0.0
RE1,CO2agr,2043,0.0
RE1,CO2agr,2044,0.0
RE1,CO2agr,2045,0.0
RE1,CO2agr,2046,0.0
RE1,CO2agr,2047,0.0
RE1,CO2agr,2048,0.0
RE1,CO2agr,2049,0.0
RE1,CO2agr,2050,0.0
RE1,CO2com,2019,0.0
RE1,CO2com,2020,0.0
RE1,CO2com,2021,0.0
RE1,CO2com,2022,0.0
RE1,CO2com,2023,0.0
RE1,CO2com,2024,0.0
RE1,CO2com,2025,0.0
RE1,CO2com,2026,0.0
RE1,CO2com,2027,0.0
RE1,CO2com,2028,0.0
RE1,CO2com,2029,0.0
RE1,CO2com,2030,0.0
RE1,CO2com,2031,0.0
RE1,CO2com,2032,0.0
RE1,CO2com,2033,0.0
RE1,CO2com,2034,0.0
RE1,CO2com,2035,0.0
RE1,CO2com,2036,0.0
RE1,CO2com,2037,0.0
RE1,CO2com,2038,0.0
RE1,CO2com,2039,0.0
RE1,CO2com,2040,0.0
RE1,CO2com,2041,0.0
RE1,CO2com,2042,0.0
RE1,CO2com,2043,0.0
RE1,CO2com,2044,0.0
RE1,CO2com,2045,0.0
