REGION,TECHNOLOGY,YEAR,VALUE
RE1,AGRDSL001,2019,999999.0
RE1,AGRDSL001,2020,999999.0
RE1,AGRDSL001,2021,999999.0
RE1,AGRDSL001,2022,999999.0
RE1,AGRDSL001,2023,999999.0
RE1,AGRDSL001,2024,999999.0
RE1,AGRDSL001,2025,999999.0
RE1,AGRDSL001,2026,999999.0
RE1,AGRDSL001,2027,999999.0
RE1,AGRDSL001,2028,999999.0
RE1,AGRDSL001,2029,999999.0
RE1,AGRDSL001,2030,999999.0
RE1,AGRDSL001,2031,999999.0
RE1,AGRDSL001,2032,999999.0
RE1,AGRDSL001,2033,999999.0
RE1,AGRDSL001,2034,999999.0
RE1,AGRDSL001,2035,999999.0
RE1,AGRDSL001,2036,999999.0
RE1,AGRDSL001,2037,999999.0
RE1,AGRDSL001,2038,999999.0
RE1,AGRDSL001,2039,999999.0
RE1,AGRDSL001,2040,999999.0
RE1,AGRDSL001,2041,999999.0
RE1,AGRDSL001,2042,999999.0
RE1,AGRDSL001,2043,999999.0
RE1,AGRDSL001,2044,999999.0
RE1,AGRDSL001,2045,999999.0
RE1,AGRDSL001,2046,999999.0
RE1,AGRDSL001,2047,999999.0
RE1,AGRDSL001,2048,999999.0
RE1,AGRDSL001,2049,999999.0
RE1,AGRDSL001,2050,999999.0
RE1,AGRDSL005,2019,999999.0
RE1,AGRDSL005,2020,999999.0
RE1,AGRDSL005,2021,999999.0
RE1,AGRDSL005,2022,999999.0
RE1,AGRDSL005,2023,999999.0
RE1,AGRDSL005,2024,999999.0
RE1,AGRDSL005,2025,999999.0
RE1,AGRDSL005,2026,999999.0
RE1,AGRDSL005,2027,999999.0
RE1,AGRDSL005,2028,999999.0
RE1,AGRDSL005,2029,999999.0
RE1,AGRDSL005,2030,999999.0
RE1,AGRDSL005,2031,999999.0
RE1,AGRDSL005,2032,999999.0
RE1,AGRDSL005,2033,999999.0
RE1,AGRDSL005,2034,999999.0
RE1,AGRDSL005,2035,999999.0
RE1,AGRDSL005,2036,999999.0
RE1,AGRDSL005,2037,999999.0
RE1,AGRDSL005,2038,999999.0
RE1,AGRDSL005,2039,999999.0
RE1,AGRDSL005,2040,999999.0
RE1,AGRDSL005,2041,999999.0
RE1,AGRDSL005,2042,999999.0
RE1,AGRDSL005,2043,999999.0
RE1,AGRDSL005,2044,999999.0
RE1,AGRDSL005,2045,999999.0
RE1,AGRDSL005,2046,999999.0
RE1,AGRDSL005,2047,999999.0
RE1,AGRDSL005,2048,999999.0
RE1,AGRDSL005,2049,999999.0
RE1,AGRDSL005,2050,999999.0
RE1,AGRGSL001,2019,999999.0
RE1,AGRGSL001,2020,999999.0
RE1,AGRGSL001,2021,999999.0
RE1,AGRGSL001,2022,999999.0
RE1,AGRGSL001,2023,999999.0
RE1,AGRGSL001,2024,999999.0
RE1,AGRGSL001,2025,999999.0
RE1,AGRGSL001,2026,999999.0
RE1,AGRGSL001,2027,999999.0
RE1,AGRGSL001,2028,999999.0
RE1,AGRGSL001,2029,999999.0
RE1,AGRGSL001,2030,999999.0
RE1,AGRGSL001,2031,999999.0
RE1,AGRGSL001,2032,999999.0
RE1,AGRGSL001,2033,999999.0
RE1,AGRGSL001,2034,999999.0
RE1,AGRGSL001,2035,999999.0
RE1,AGRGSL001,2036,999999.0
RE1,AGRGSL001,2037,999999.0
RE1,AGRGSL001,2038,999999.0
RE1,AGRGSL001,2039,999999.0
RE1,AGRGSL001,2040,999999.0
RE1,AGRGSL001,2041,999999.0
RE1,AGRGSL001,2042,999999.0
RE1,AGRGSL001,2043,999999.0
RE1,AGRGSL001,2044,999999.0
RE1,AGRGSL001,2045,999999.0
RE1,AGRGSL001,2046,999999.0
RE1,AGRGSL001,2047,999999.0
RE1,AGRGSL001,2048,999999.0
RE1,AGRGSL001,2049,999999.0
RE1,AGRGSL001,2050,999999.0
RE1,AGRGSL005,2019,999999.0
RE1,AGRGSL005,2020,999999.0
RE1,AGRGSL005,2021,999999.0
RE1,AGRGSL005,2022,999999.0
RE1,AGRGSL005,2023,999999.0
RE1,AGRGSL005,2024,999999.0
RE1,AGRGSL005,2025,999999.0
RE1,AGRGSL005,2026,999999.0
RE1,AGRGSL005,2027,999999.0
RE1,AGRGSL005,2028,999999.0
RE1,AGRGSL005,2029,999999.0
RE1,AGRGSL005,2030,999999.0
RE1,AGRGSL005,2031,999999.0
RE1,AGRGSL005,2032,999999.0
RE1,AGRGSL005,2033,999999.0
RE1,AGRGSL005,2034,999999.0
RE1,AGRGSL005,2035,999999.0
RE1,AGRGSL005,2036,999999.0
RE1,AGRGSL005,2037,999999.0
RE1,AGRGSL005,2038,999999.0
RE1,AGRGSL005,2039,999999.0
RE1,AGRGSL005,2040,999999.0
RE1,AGRGSL005,2041,999999.0
RE1,AGRGSL005,2042,999999.0
RE1,AGRGSL005,2043,999999.0
RE1,AGRGSL005,2044,999999.0
RE1,AGRGSL005,2045,999999.0
RE1,AGRGSL005,2046,999999.0
RE1,AGRGSL005,2047,999999.0
RE1,AGRGSL005,2048,999999.0
RE1,AGRGSL005,2049,999999.0
RE1,AGRGSL005,2050,999999.0
RE1,AGRHFO001,2019,999999.0
RE1,AGRHFO001,2020,999999.0
RE1,AGRHFO001,2021,999999.0
RE1,AGRHFO001,2022,999999.0
RE1,AGRHFO001,2023,999999.0
RE1,AGRHFO001,2024,999999.0
RE1,AGRHFO001,2025,999999.0
RE1,AGRHFO001,2026,999999.0
RE1,AGRHFO001,2027,999999.0
RE1,AGRHFO001,2028,999999.0
RE1,AGRHFO001,2029,999999.0
RE1,AGRHFO001,2030,999999.0
RE1,AGRHFO001,2031,999999.0
RE1,AGRHFO001,2032,999999.0
RE1,AGRHFO001,2033,999999.0
RE1,AGRHFO001,2034,999999.0
RE1,AGRHFO001,2035,999999.0
RE1,AGRHFO001,2036,999999.0
RE1,AGRHFO001,2037,999999.0
RE1,AGRHFO001,2038,999999.0
RE1,AGRHFO001,2039,999999.0
RE1,AGRHFO001,2040,999999.0
RE1,AGRHFO001,2041,999999.0
RE1,AGRHFO001,2042,999999.0
RE1,AGRHFO001,2043,999999.0
RE1,AGRHFO001,2044,999999.0
RE1,AGRHFO001,2045,999999.0
RE1,AGRHFO001,2046,999999.0
RE1,AGRHFO001,2047,999999.0
RE1,AGRHFO001,2048,999999.0
RE1,AGRHFO001,2049,999999.0
RE1,AGRHFO001,2050,999999.0
RE1,BACKSTOP,2019,999999.0
RE1,BACKSTOP,2020,999999.0
RE1,BACKSTOP,2021,999999.0
RE1,BACKSTOP,2022,999999.0
RE1,BACKSTOP,2023,999999.0
RE1,BACKSTOP,2024,999999.0
RE1,BACKSTOP,2025,999999.0
RE1,BACKSTOP,2026,999999.0
RE1,BACKSTOP,2027,999999.0
RE1,BACKSTOP,2028,999999.0
RE1,BACKSTOP,2029,999999.0
RE1,BACKSTOP,2030,999999.0
RE1,BACKSTOP,2031,999999.0
RE1,BACKSTOP,2032,999999.0
RE1,BACKSTOP,2033,999999.0
RE1,BACKSTOP,2034,999999.0
RE1,BACKSTOP,2035,999999.0
RE1,BACKSTOP,2036,999999.0
RE1,BACKSTOP,2037,999999.0
RE1,BACKSTOP,2038,999999.0
RE1,BACKSTOP,2039,999999.0
RE1,BACKSTOP,2040,999999.0
RE1,BACKSTOP,2041,999999.0
RE1,BACKSTOP,2042,999999.0
RE1,BACKSTOP,2043,999999.0
RE1,BACKSTOP,2044,999999.0
RE1,BACKSTOP,2045,999999.0
RE1,BACKSTOP,2046,999999.0
RE1,BACKSTOP,2047,999999.0
RE1,BACKSTOP,2048,999999.0
RE1,BACKSTOP,2049,999999.0
RE1,BACKSTOP,2050,999999.0
RE1,CCOELC001,2019,999999.0
RE1,CCOELC001,2020,999999.0
RE1,CCOELC001,2021,999999.0
RE1,CCOELC001,2022,999999.0
RE1,CCOELC001,2023,999999.0
RE1,CCOELC001,2024,999999.0
RE1,CCOELC001,2025,999999.0
RE1,CCOELC001,2026,999999.0
RE1,CCOELC001,2027,999999.0
RE1,CCOELC001,2028,999999.0
RE1,CCOELC001,2029,999999.0
RE1,CCOELC001,2030,999999.0
RE1,CCOELC001,2031,999999.0
RE1,CCOELC001,2032,999999.0
RE1,CCOELC001,2033,999999.0
RE1,CCOELC001,2034,999999.0
RE1,CCOELC001,2035,999999.0
RE1,CCOELC001,2036,999999.0
RE1,CCOELC001,2037,999999.0
RE1,CCOELC001,2038,999999.0
RE1,CCOELC001,2039,999999.0
RE1,CCOELC001,2040,999999.0
RE1,CCOELC001,2041,999999.0
RE1,CCOELC001,2042,999999.0
RE1,CCOELC001,2043,999999.0
RE1,CCOELC001,2044,999999.0
RE1,CCOELC001,2045,999999.0
RE1,CCOELC001,2046,999999.0
RE1,CCOELC001,2047,999999.0
RE1,CCOELC001,2048,999999.0
RE1,CCOELC001,2049,999999.0
RE1,CCOELC001,2050,999999.0
RE1,EXPELC,2019,999999.0
RE1,EXPELC,2020,999999.0
RE1,EXPELC,2021,999999.0
RE1,EXPELC,2022,999999.0
RE1,EXPELC,2023,999999.0
RE1,EXPELC,2024,999999.0
RE1,EXPELC,2025,999999.0
RE1,EXPELC,2026,999999.0
RE1,EXPELC,2027,999999.0
RE1,EXPELC,2028,999999.0
RE1,EXPELC,2029,999999.0
RE1,EXPELC,2030,999999.0
RE1,EXPELC,2031,999999.0
RE1,EXPELC,2032,999999.0
RE1,EXPELC,2033,999999.0
RE1,EXPELC,2034,999999.0
RE1,EXPELC,2035,999999.0
RE1,EXPELC,2036,999999.0
RE1,EXPELC,2037,999999.0
RE1,EXPELC,2038,999999.0
RE1,EXPELC,2039,999999.0
RE1,EXPELC,2040,999999.0
RE1,EXPELC,2041,999999.0
RE1,EXPELC,2042,999999.0
RE1,EXPELC,2043,999999.0
RE1,EXPELC,2044,999999.0
RE1,EXPELC,2045,999999.0
RE1,EXPELC,2046,999999.0
RE1,EXPELC,2047,999999.0
RE1,EXPELC,2048,999999.0
RE1,EXPELC,2049,999999.0
RE1,EXPELC,2050,999999.0
RE1,FTEAGRDSL,2019,999999.0
RE1,FTEAGRDSL,2020,999999.0
RE1,FTEAGRDSL,2021,999999.0
RE1,FTEAGRDSL,2022,999999.0
RE1,FTEAGRDSL,2023,999999.0
RE1,FTEAGRDSL,2024,999999.0
RE1,FTEAGRDSL,2025,999999.0
RE1,FTEAGRDSL,2026,999999.0
RE1,FTEAGRDSL,2027,999999.0
RE1,FTEAGRDSL,2028,999999.0
RE1,FTEAGRDSL,2029,999999.0
RE1,FTEAGRDSL,2030,999999.0
RE1,FTEAGRDSL,2031,999999.0
RE1,FTEAGRDSL,2032,999999.0
RE1,FTEAGRDSL,2033,999999.0
RE1,FTEAGRDSL,2034,999999.0
RE1,FTEAGRDSL,2035,999999.0
RE1,FTEAGRDSL,2036,999999.0
RE1,FTEAGRDSL,2037,999999.0
RE1,FTEAGRDSL,2038,999999.0
RE1,FTEAGRDSL,2039,999999.0
RE1,FTEAGRDSL,2040,999999.0
RE1,FTEAGRDSL,2041,999999.0
RE1,FTEAGRDSL,2042,999999.0
RE1,FTEAGRDSL,2043,999999.0
RE1,FTEAGRDSL,2044,999999.0
RE1,FTEAGRDSL,2045,999999.0
RE1,FTEAGRDSL,2046,999999.0
RE1,FTEAGRDSL,2047,999999.0
RE1,FTEAGRDSL,2048,999999.0
RE1,FTEAGRDSL,2049,999999.0
RE1,FTEAGRDSL,2050,999999.0
RE1,FTEAGRGSL,2019,999999.0
RE1,FTEAGRGSL,2020,999999.0
RE1,FTEAGRGSL,2021,999999.0
RE1,FTEAGRGSL,2022,999999.0
RE1,FTEAGRGSL,2023,999999.0
RE1,FTEAGRGSL,2024,999999.0
RE1,FTEAGRGSL,2025,999999.0
RE1,FTEAGRGSL,2026,999999.0
RE1,FTEAGRGSL,2027,999999.0
RE1,FTEAGRGSL,2028,999999.0
RE1,FTEAGRGSL,2029,999999.0
RE1,FTEAGRGSL,2030,999999.0
RE1,FTEAGRGSL,2031,999999.0
RE1,FTEAGRGSL,2032,999999.0
RE1,FTEAGRGSL,2033,999999.0
RE1,FTEAGRGSL,2034,999999.0
RE1,FTEAGRGSL,2035,999999.0
RE1,FTEAGRGSL,2036,999999.0
RE1,FTEAGRGSL,2037,999999.0
RE1,FTEAGRGSL,2038,999999.0
RE1,FTEAGRGSL,2039,999999.0
RE1,FTEAGRGSL,2040,999999.0
RE1,FTEAGRGSL,2041,999999.0
RE1,FTEAGRGSL,2042,999999.0
RE1,FTEAGRGSL,2043,999999.0
RE1,FTEAGRGSL,2044,999999.0
RE1,FTEAGRGSL,2045,999999.0
RE1,FTEAGRGSL,2046,999999.0
RE1,FTEAGRGSL,2047,999999.0
RE1,FTEAGRGSL,2048,999999.0
RE1,FTEAGRGSL,2049,999999.0
RE1,FTEAGRGSL,2050,999999.0
RE1,FTEAGRHFO,2019,999999.0
RE1,FTEAGRHFO,2020,999999.0
RE1,FTEAGRHFO,2021,999999.0
RE1,FTEAGRHFO,2022,999999.0
RE1,FTEAGRHFO,2023,999999.0
RE1,FTEAGRHFO,2024,999999.0
RE1,FTEAGRHFO,2025,999999.0
RE1,FTEAGRHFO,2026,999999.0
RE1,FTEAGRHFO,2027,999999.0
RE1,FTEAGRHFO,2028,999999.0
RE1,FTEAGRHFO,2029,999999.0
RE1,FTEAGRHFO,2030,999999.0
RE1,FTEAGRHFO,2031,999999.0
RE1,FTEAGRHFO,2032,999999.0
RE1,FTEAGRHFO,2033,999999.0
RE1,FTEAGRHFO,2034,999999.0
RE1,FTEAGRHFO,2035,999999.0
RE1,FTEAGRHFO,2036,999999.0
RE1,FTEAGRHFO,2037,999999.0
RE1,FTEAGRHFO,2038,999999.0
RE1,FTEAGRHFO,2039,999999.0
RE1,FTEAGRHFO,2040,999999.0
RE1,FTEAGRHFO,2041,999999.0
RE1,FTEAGRHFO,2042,999999.0
RE1,FTEAGRHFO,2043,999999.0
RE1,FTEAGRHFO,2044,999999.0
RE1,FTEAGRHFO,2045,999999.0
RE1,FTEAGRHFO,2046,999999.0
RE1,FTEAGRHFO,2047,999999.0
RE1,FTEAGRHFO,2048,999999.0
RE1,FTEAGRHFO,2049,999999.0
RE1,FTEAGRHFO,2050,999999.0
RE1,FTECOMELC,2019,999999.0
RE1,FTECOMELC,2020,999999.0
RE1,FTECOMELC,2021,999999.0
RE1,FTECOMELC,2022,999999.0
RE1,FTECOMELC,2023,999999.0
RE1,FTECOMELC,2024,999999.0
RE1,FTECOMELC,2025,999999.0
RE1,FTECOMELC,2026,999999.0
RE1,FTECOMELC,2027,999999.0
RE1,FTECOMELC,2028,999999.0
RE1,FTECOMELC,2029,999999.0
RE1,FTECOMELC,2030,999999.0
RE1,FTECOMELC,2031,999999.0
RE1,FTECOMELC,2032,999999.0
RE1,FTECOMELC,2033,999999.0
RE1,FTECOMELC,2034,999999.0
RE1,FTECOMELC,2035,999999.0
RE1,FTECOMELC,2036,999999.0
RE1,FTECOMELC,2037,999999.0
RE1,FTECOMELC,2038,999999.0
RE1,FTECOMELC,2039,999999.0
RE1,FTECOMELC,2040,999999.0
RE1,FTECOMELC,2041,999999.0
RE1,FTECOMELC,2042,999999.0
RE1,FTECOMELC,2043,999999.0
RE1,FTECOMELC,2044,999999.0
RE1,FTECOMELC,2045,999999.0
RE1,FTECOMELC,2046,999999.0
RE1,FTECOMELC,2047,999999.0
RE1,FTECOMELC,2048,999999.0
RE1,FTECOMELC,2049,999999.0
RE1,FTECOMELC,2050,999999.0
RE1,FTEINDCOA,2019,999999.0
RE1,FTEINDCOA,2020,999999.0
RE1,FTEINDCOA,2021,999999.0
RE1,FTEINDCOA,2022,999999.0
RE1,FTEINDCOA,2023,999999.0
RE1,FTEINDCOA,2024,999999.0
RE1,FTEINDCOA,2025,999999.0
RE1,FTEINDCOA,2026,999999.0
RE1,FTEINDCOA,2027,999999.0
RE1,FTEINDCOA,2028,999999.0
RE1,FTEINDCOA,2029,999999.0
RE1,FTEINDCOA,2030,999999.0
RE1,FTEINDCOA,2031,999999.0
RE1,FTEINDCOA,2032,999999.0
RE1,FTEINDCOA,2033,999999.0
RE1,FTEINDCOA,2034,999999.0
RE1,FTEINDCOA,2035,999999.0
RE1,FTEINDCOA,2036,999999.0
RE1,FTEINDCOA,2037,999999.0
RE1,FTEINDCOA,2038,999999.0
RE1,FTEINDCOA,2039,999999.0
RE1,FTEINDCOA,2040,999999.0
RE1,FTEINDCOA,2041,999999.0
RE1,FTEINDCOA,2042,999999.0
RE1,FTEINDCOA,2043,999999.0
RE1,FTEINDCOA,2044,999999.0
RE1,FTEINDCOA,2045,999999.0
RE1,FTEINDCOA,2046,999999.0
RE1,FTEINDCOA,2047,999999.0
RE1,FTEINDCOA,2048,999999.0
RE1,FTEINDCOA,2049,999999.0
