REGION,TECHNOLOGY,VALUE
RE1,AGRDSL001,0.0
RE1,AGRDSL005,0.0
RE1,AGRGSL001,0.0
RE1,AGRGSL005,0.0
RE1,AGRHFO001,0.0
RE1,BACKSTOP,0.0
RE1,CCOELC001,0.0
RE1,EXPELC,0.0
RE1,FTEAGRDSL,0.0
RE1,FTEAGRGSL,0.0
RE1,FTEAGRHFO,0.0
RE1,FTECOMELC,0.0
RE1,FTEINDCOA,0.0
RE1,FTEINDDSL,0.0
RE1,FTEINDELC,0.0
RE1,FTEINDHFO,0.0
RE1,FTEINDKER,0.0
RE1,FTEINDLPG,0.0
RE1,FTERESBGS,0.0
RE1,FTERESBIO,0.0
RE1,FTERESCHC,0.0
RE1,FTERESELC,0.0
RE1,FTERESETH,0.0
RE1,FTERESKER,0.0
RE1,FTERESLPG,0.0
RE1,FTETRADSL,0.0
RE1,FTETRAELC,0.0
RE1,FTETRAGSL,0.0
RE1,FTETRAHFO,0.0
RE1,FTETRAJFL,0.0
RE1,ICMCOA001,0.0
RE1,ICMCOA005,0.0
RE1,IFPELC001,0.0
RE1,IMPBIO,0.0
RE1,IMPCOA,0.0
RE1,IMPDSL,0.0
RE1,IMPELC001,0.0
RE1,IMPELC002,0.0
RE1,IMPGSL,0.0
RE1,IMPHFOMOM,0.0
RE1,IMPHFONAI,0.0
RE1,IMPJFL,0.0
RE1,IMPKER,0.0
RE1,IMPLFOELD,0.0
RE1,IMPLPG,0.0
RE1,IMPNGS,0.0
RE1,IMPURN,0.0
RE1,IOIDSL001,0.0
RE1,IOIELC001,0.0
RE1,IOIHFO001,0.0
RE1,IOIKER001,0.0
RE1,IOILPG001,0.0
RE1,MINBGS,0.0
RE1,MINBIO,0.0
RE1,MINGEO,0.0
RE1,MINHYD,0.0
RE1,MINSOL,0.0
RE1,MINURN,0.0
RE1,MINWND,0.0
RE1,PWRBIO001,0.0
RE1,PWRCOA001,0.0
RE1,PWRDIST,0.0
RE1,PWRGEO001,0.0
RE1,PWRGEO002,0.0
RE1,PWRGEO003,0.0
RE1,PWRGEO004,0.0
RE1,PWRGEO005,0.0
RE1,PWRGEO006,0.0
RE1,PWRGEO007,0.0
RE1,PWRHFO001,0.0
RE1,PWRHYD001,0.0
RE1,PWRHYD002,0.0
RE1,PWRHYD003,0.0
RE1,PWRHYD004,0.0
RE1,PWRHYD005,0.0
RE1,PWRLFO001,0.0
RE1,PWRNGS001,0.0
RE1,PWRSOL001,0.0
RE1,PWRTRN,0.0
RE1,PWRURN001,0.0
RE1,PWRWND001,0.0
RE1,PWRWND002,0.0
RE1,PWRWND003,0.0
RE1,PWRWND004,0.0
RE1,PWRWND005,0.0
RE1,PWRWND006,0.0
RE1,PWRWND007,0.0
RE1,PWRWND008,0.0
RE1,PWRWND009,0.0
RE1,PWRWND010,0.0
RE1,RC1ELC001,0.0
RE1,RC2ELC001,0.0
RE1,RK1BGS001,0.0
RE1,RK1BIO001,0.0
RE1,RK1BIO005,0.0
RE1,RK1CHC001,0.0
RE1,RK1CHC005,0.0
RE1,RK1ELC001,0.0
RE1,RK1ELC005,0.0
RE1,RK1ELC100,0.0
RE1,RK1ETH001,0.0
RE1,RK1KER001,0.0
RE1,RK1LPG001,0.0
RE1,RK2BGS001,0.0
RE1,RK2BIO001,0.0
RE1,RK2BIO005,0.0
RE1,RK2CHC001,0.0
RE1,RK2CHC005,0.0
RE1,RK2ELC001,0.0
RE1,RK2ELC005,0.0
RE1,RK2ELC100,0.0
RE1,RK2ETH001,0.0
RE1,RK2KER001,0.0
RE1,RK2LPG001,0.0
RE1,RL1ELC001,0.0
RE1,RL1ELC005,0.0
RE1,RL1KER001,0.0
RE1,RL1KER005,0.0
RE1,RL2ELC001,0.0
RE1,RL2ELC005,0.0
RE1,RL2KER001,0.0
RE1,RL2KER005,0.0
RE1,RO1ELC001,0.0
RE1,RO1ELC005,0.0
RE1,RO2ELC001,0.0
RE1,RO2ELC005,0.0
RE1,TAIJFL001,0.0
RE1,TRBDSL001,0.0
RE1,TRBDSL005,0.0
RE1,TRBDSL010,0.0
RE1,TRBELC001,0.0
RE1,TRBGSL001,0.0
RE1,TRBGSL005,0.0
RE1,TRBGSL010,0.0
RE1,TRCDSL001,0.0
RE1,TRCDSL005,0.0
RE1,TRCDSL010,0.0
RE1,TRCELC001,0.0
RE1,TRCGSL001,0.0
RE1,TRCGSL005,0.0
RE1,TRCGSL010,0.0
RE1,TRHDSL001,0.0
RE1,TRHDSL005,0.0
RE1,TRHDSL010,0.0
RE1,TRHGSL001,0.0
RE1,TRHGSL005,0.0
RE1,TRHGSL010,0.0
RE1,TRLDSL001,0.0
RE1,TRLDSL005,0.0
RE1,TRLDSL010,0.0
RE1,TRLELC005,0.0
RE1,TRLGSL001,0.0
RE1,TRLGSL005,0.0
RE1,TRLGSL010,0.0
RE1,TRMDSL001,0.0
RE1,TRMDSL005,0.0
RE1,TRMDSL010,0.0
RE1,TRMELC001,0.0
RE1,TRMGSL001,0.0
RE1,TRMGSL005,0.0
RE1,TRMGSL010,0.0
RE1,TWDHFO001,0.0
RE1,UPSCHC,0.0
RE1,UPSETH,0.0
RE1,TTRDSL001,0.0
RE1,TTRELC001,0.0
